"Job Title","Job Type","Job Qualifications","Job Experience","Job Location","Job Field","Date Posted","Deadline","Job Description","Application","Company URL","Company Name","Company Logo","Company Industry","Company Founded","Company Type","Company Website","Company Address","Company Details","Job URL","Estimated Deadline","Salary Range"
"Request For Quotations to Provide equipment/devices for Phu Cat and Tuy Phuoc Health Centers, Gia Lai Province","Full-time","Diploma","","","Monitoring & Evaluation","","2026-06-30","Request for quotations to provide equipment/devices for MDT units in Gia Lai province.
The International Center (formerly known as Vietnam Veterans of America Foundation -VVAF) is a humanitarian organization that has addressed the consequences of war through advocacy and service programs in Vietnam for the last three decades. As a cofounder of the International Campaign to Ban Landmines, IC-VVAF was awarded the Nobel Peace Prize in 1997. Now the International Center (IC) focuses on disability support, landmine removal, and mental health programs.
Under the financial support of United States Department of State, IC-VVAF is implementing a Disability Inclusion Project IIb for Gia Lai and Quang Ngai provinces as a sub-implementing partner for this project. IC is responsible for implementing the Objective One of the projects which is to expand the rehabilitation services to contribute to the Goal “which is to improve the quality of life of persons with disabilities in provinces heavily sprayed with Agent Orange, namely Gia Lai and Quang Ngai
IC is seeking a qualified vendor to provide equipment/devices for Phu Cat and Tuy Phuoc Health Centers, Gia Lai Province under the Inclusion 2b Project.
For detailed information:
Please see the attached
RFQ file
Interested vendors/suppliers are invited to submit competitive quotations (duly signed and stamped) to the following email address:
[email protected]
and
[email protected]
or by post to The International Center (IC), Room 103, B3 Building, Van Phuc Diplomatic Compound, 298 Kim Ma, Ngoc Ha ward, Hanoi Vietnam) no later than
15:00pm, June 30, 2026
with a subject line “Quotation for Equipment”.
Questions for technical clarification (if any) should be sent to:
[email protected]
Please note that only competitive quotations with sufficient information will be shortlisted for further evaluation of selection.","icvietnam@theintlcenter.org","","IC-VVAF","","NGO / Development","","NGO / Non-Profit","","","","https://careerone.vn/jobs/request-for-quotations-to-provide-equipment-devices-for-phu-cat-and-tuy-phuoc-health-centers-gia-lai-province/","2026-06-30",""
"[Extension] Project Administrator, Education and Training","Full-time","Bachelor's Degree","","Hanoi","Programme / Project Management","","2026-06-30","Project Administrator, Education and Training Samaritan’s Purse is a Christian humanitarian organization providing aid to hurting people around the world. With a sustainable history working in Vietnam, the current projects include health, education, relief, protection, water, sanitation, and hygiene projects in schools, and livelihood projects.
Samaritan’s Purse Vietnam’s projects are being implemented in Ha Noi, Lai Chau, Lao Cai, Da Nang, Ho Chi Minh and Vinh Long, where the majority of people are from ethnic minority groups, often the most vulnerable or marginalized sections of the population.
We are now seeking highly qualified candidate for the following position:
Position Title:
Project Administrator, Education and Training
Grade:
Administrator
Position Duration:
From hiring date to 31/12/2026
Duty Station:
Hanoi with frequent travel to project locations
Reports To:
Lead Project Coordinator, Education and Training
Job Summary:
This position supports and implements project activities such as youth mentoring, life-sills training, character training, financial support management, and conducting extra-curricular events under the direction of the Lead Project Coordinator.
Key Responsibilities:
Project Implementation:
Support Program Manager and Lead Project Coordinator/Project Coordinator(s) with project design and implementation support including conducting activities, coordination, trainings, assessments, monitoring, and evaluation.
Logistical Arrangements:
Prepare logistical arrangements including transportation, accommodations, meals, and supplies for project activities and distributions.
Training:
Assist with training, development of supporting materials, and reviewing partner’s training for accuracy and applicability.
Scheduling:
Manage timely completion of the project activities under the direction of the Program Manager in coordination with partners.
Procurement:
Utilize established office procedures to ensure the project has the necessary products and/or services to complete work in a timely manner.  File and organize procurement documents in the shared drive. Keep inventory of project supplies in storage.
Monitoring and Evaluation:
Monitor project activities conducted by Samaritan’s Purse and partners. Utilize survey, interview, discussion, and other data collection methods to monitor and evaluate project activities. Ensure activity and project outputs meet defined scope and quality.
Reporting and Data Entry:
Data is compiled from surveys, questionnaires, and activities to create summary of information for input into reports including data software, monthly, and annual reports for review by the Program
Stakeholder, Partner, and Government Relations:
Assist the Lead Project Coordinator with meetings, communications, and related documentation. Works to foster strong relationships with partnering authorities.
Financial
M
anagement:
Follow internal financial procedures to ensure timely completion of activities in accordance with approved budgets and donor requirements. Collect accurate receipts and supporting financial documents. Create regular financial expense reports for activities. Review partner financial reporting for compliance with internal requirements when needed.
Quality:
Oversee activities to ensure they meet the quality needs for which it was approved.
Communication:
Ensure timely and appropriate planning, collection, creation, distribution, storage, retrieval, management, control, monitoring of project communication, including impact stories.
Work Environment:
Nurture a positive work environment and foster a commitment to Samaritan’s Purse values and ethics.
Other responsibilities:
Samaritan’s Purse works as a team to carry out programming and additional responsibilities will be assigned as needed.
Education/Experience Needed:
Bachelor’s Degree in development-related field, social sciences, and/or other relevant field.
At least one year of relevant professional work experience.
English proficiency level A2 (Elementary Basic User) according to CEFR (Common European Framework of Reference for Languages) and fluency in written and spoken Vietnamese.
Prior experience or training in project management is preferable.
Strong willingness and passion to help the vulnerable and disadvantaged in Vietnam.
Skills Required:
Excellent planning, time management and organizational skills; high level of integrity.
Comfortable using Microsoft Word, Excel, PowerPoint, and email.
Ability to travel frequently to remote villages in varying weather conditions
Humble and mature team player; ability to be flexible and adapt.
Samaritan’s Purse in Vietnam is a Christian nonprofit organization. Candidates having working experience in a similar kind of organization will be an advantage.
Please note that Applications will be treated in confidence, only candidates invited to an interview will be contacted.
To respond to this opportunity, please send your
Cover letter, Samaritan’s Purse
Application form
(as attached) to
[email protected]
referencing “E&T Project Administrator Opportunity” in the subject title.
Application Deadline:
June 30, 2026.","hrspvietnam@samaritan.org","","Samaritan’s Purse","","NGO / Development","","NGO / Non-Profit","","Hanoi","","https://careerone.vn/jobs/extension-project-administrator-education-and-training-3/","2026-06-30",""
"Trainer to Deliver a Tour Guide Skills Enhancement Training Program","Consultancy / Contract","","","","Consultancy","","2026-06-21",".
Please refer to the attached
TOR (in Vietnamese)
for more details.
Interested candidates are invited to submit their application documents by 21 June 2026 to:
[email protected]
Email subject:
[FULL NAME] _ Tour Guide Consultant","recruitment@actiononpoverty.org","","AOP","","NGO / Development","","NGO / Development","","","","https://careerone.vn/jobs/trainer-to-deliver-a-tour-guide-skills-enhancement-training-program/","2026-06-21",""
"REQUEST FOR QUOTATIONS (RFQ): Development of the Animal Disease Surveillance and Reporting","Full-time","","","","Health & Nutrition","","2026-06-24","Background
FHI 360
is a nonprofit human development organization dedicated to improving lives in lasting ways by advancing integrated, locally driven solutions. Our staff includes experts in health, public health threats, education, nutrition, environment, economic development, civil society, gender, youth, research, technology, communication, and social marketing – creating a unique mix of capabilities to address today’s interrelated development challenges. FHI 360 is currently implementing programs to address challenges in HIV prevention, testing, and treatment; Tuberculosis (TB) case finding and treatment; antimicrobial resistance; health system strengthening; maternal and child health and nutrition; and Global Health Security (GHS).
Funded by the U.S. Government, the
STRengthening Infectious disease DEtection Systems (STRIDES)
and
EpiC (Meeting Targets and Maintaining Epidemic Control)
Activity advances cross-sectoral efforts to successfully identify, manage, and respond to infectious disease threats; detect and prevent further outbreaks; and instill confidence in the operability of a country’s disease surveillance and detection structures. As part of this effort, baseline assessments will be conducted across human health, public health, hospital, and animal health laboratories to map current capacities, identify gaps, and inform system strengthening and coordinated laboratory network development in seven supported provinces (An Giang, Can Tho City, Dong Nai, HCMC, Nghe An, Quang Ninh, and Thai Nguyen).
FHI 360 is seeking a qualified vendor to provide services for the development of the “Animal Disease Surveillance and Reporting-VAHIS 2.0” component system.
Requirements
: please see details in the
attached file
.
Questions due date
: 5PM, June 18, 2026 to email
[email protected]
Responses to questions and queries (if any) will be posted on the posting link by 5PM, June 22, 2026
Submit quotation to
:
[email protected]
and clearly note in the subject line: “Proposal-Development-AH Surveillance-Reporting”
Submission deadline
: 5PM June 24, 2026","procurementvietnam@fhi360.org","","FHI 360","","NGO / Development","","NGO / Non-Profit","","","","https://careerone.vn/jobs/request-for-quotations-rfq-development-of-the-animal-disease-surveillance-and-reporting/","2026-06-24",""
"Invitation to Tender – FWA to provide beverages and processed food items for emergency relief","Full-time","","","","Communications & Advocacy","","2026-06-22","Save the Children is the World’s leading independent organisation for children. We save children’s lives; we fight for their rights; we help them fulfil their potential. We work together, with our partners, to inspire breakthroughs in the way the world treats children and to achieve immediate and lasting change in their lives.
We are inviting submissions for our tender package “FWA to supply beverages and processed food items for emergency relief”. Detailed instructions and tender response documents are available in the attached “
Ho so moi thau”
.
Bidders wishing to submit a bid
must use the
Bidder Response Document template
in Part 3 of this Tender package. Any bid received using different formats, or incomplete bids, will not be accepted. This document allows bidders to submit all the required information and be evaluated fairly and equally against the Essential, Capability and Commercial Criteria.
Please refer the
Appendix 1 – RFQ
Key details:
Submission Deadline:
18:00 on 22/06/2026.
Late submissions may be void.
Submission Email:
[email protected]
.
Important Notes:
This is a sealed tender box which will not be opened until the package has closed. Therefore, do not send package related questions to this email address.
An automatic reply message will confirm receipt of your submission. In case you do not receive this message, please screen shot the submission evidence and contact us for support.
The subject of the email should be
“ITT/<<SCIV-2026-ITT-002>>/Phản hồi của nhà thầu – ‘Tên nhà thầu’, ‘Ngày’’.
All attached documents should be clearly labelled so it is clear to understand what each file relates to.
Emails should not exceed 15mb – if the file sizes are large, please split the submission into multiple emails
Do not copy other SCI email addresses
, as this will invalidate your bid.
Enquiries / Clarifications: please email
[email protected]
Deadline for submission of clarification questions:
8 June 2026.
Reponses will be provided by
15 June 2026
Questions and Answers","Vietnam.Quotation@savethechildren.org","","SCI","","NGO / Development","","NGO / Development","","","","https://careerone.vn/jobs/invitation-to-tender-fwa-to-provide-beverages-and-processed-food-items-for-emergency-relief-2/","2026-06-22",""
"HIV/AIDS Treatment and Care Program Officers","Full-time","","","Hanoi","Programme / Project Management","","2026-06-24","The AIDS Epidemic Ending Support Project (EPIC Project) under Vietnam Administration of Disease Prevention – Ministry of Health would like to find Vietnamese competent candidates for the positions working for our project office in Hanoi:
Please refer to the
Recruitment Notice
and
Term Of Reference
(in Vietnamese)
for more details.
Deadline for application:
Friday, 17h00, 24 June 2026
A Competitive salary, benefits and career development opportunity will be offered and commensurate with the experience, qualifications and responsibilities.","tuyendungepic@gmail.com","","EPIC Project","","NGO / Development","","Government / Embassy","","Hanoi","","https://careerone.vn/jobs/hiv-aids-treatment-and-care-program-officers/","2026-06-24",""
"Request for Tender “Providing of fish fingerlings in An Giang”","Full-time","","","","Development / NGO","","2026-06-28","WWF-Viet Nam, under Mekong NbS Project would like to invite eligible contractor who are interested in our package: “
Supply of fish fingerlings for aquaculture farming models during the 2026 flood season in An Giang Province”
.
Please see the attached file for detailed information here:
https://vietnam.panda.org/get_involved_vn/jobs_vn/?396815
HOW TO APPLY:
Please send the electronic Bid to WWF-Viet Nam’s designated mailbox at
[email protected]
. Your e-mail must have the subject heading as “
[FY26-1287-1] Bid [Name of Bidder]
] “Providing of fish fingerlings in An Giang”
“.
The deadline for submission is
17:00 (Hanoi ICT) on June 28 2026
.
Late submissions will not be considered.","procurement@wwf.org.vn","https://vietnam.panda.org/get_involved_vn/jobs_vn/?396815","WWF","","NGO / Development","","UN Agency","https://vietnam.panda.org/get_involved_vn/jobs_vn/?396815","","","https://careerone.vn/jobs/request-for-tender-providing-of-fish-fingerlings-in-an-giang/","2026-06-28",""
"[Extension] Consultancy Service: Technical Support for Improving Brocade Products Based on Market Orientation for Producer Groups in Thanh Hoa Province","Consultancy / Contract","","3 - 5 Years","","Finance & Accounting","","2026-06-21","WORLD VISION INTERNATIONAL
IN VIETNAM
MICROFINANCE UNIT (MFU)
TERMS OF REFERENCES (TOR)
Consultancy Service: Technical Support for Improving Brocade Products Based on Market Orientation
for Producer Groups in Thanh Hoa Province
CLICK
HERE
FOR VIETNAMESE
I. BACKGROUND
:
The THRIVE Project is jointly implemented by the Microfinance Unit (MFU) and World Vision International in Vietnam, aiming to support vulnerable households in improving sustainable livelihoods, strengthening income security, and increasing market access.
Under the iMKA (Inclusive Market Knowledge and Access) component, the project prioritizes supporting producer groups with potential to participate in local value chains. Previous assessments conducted by MFU identified general production and business conditions of producer groups in the project areas. However, for brocade producer groups, further technical support is needed to improve product quality and market readiness.
Current challenges of brocade groups include:
Inconsistent finished product quality
Limited product diversity and design adaptation
Lack of basic quality control systems
Limited capacity for product improvement and market-oriented development
Therefore, the project seeks a qualified consultant/team to provide technical support for assessing existing brocade products and improving product quality based on market requirements, with the aim of strengthening future market linkage opportunities.
II. SCOPE OF WORK
The consultant/team will provide technical support to assess the market suitability of existing brocade products and support producer groups in improving product quality and product presentation.
Main tasks include:
1. Product Assessment
Assess selected brocade products of producer groups
Review product quality, finishing, consistency, design, and market suitability
Identify technical gaps and improvement needs
Recommend potential products for further market development
2. Development of Technical Support Program
Based on the assessment results, the consultant will develop a practical technical support and training program tailored to the needs of producer groups. Support may include:
Improving selected production techniques
Enhancing product finishing and consistency
Supporting product design adjustments for target markets
Standardizing selected production steps
3. Technical Support and Training Implementation
The consultant will organize technical support activities using appropriate methods (including online and offline), prioritizing practical coaching and on-site guidance. Activities may include:
Technical coaching sessions
Hands-on product improvement practice
Provision of technical guidance materials
Follow-up support during implementation
4. Final Assessment and Recommendations
At the end of the assignment, the consultant will submit a final report including:
Initial product assessment results
Technical support activities conducted
Improvements achieved in selected sample products
Remaining challenges and recommendations for future support
* IMPLEMENTATION TIMELINE: 06/2026 – 09/2026
III. EXPECTED DELIVERABLES
Within the framework of this technical support package, the consultant/team is expected to achieve the following results:
1. Initial Market-Oriented Product Assessment
The consultant/team will assess selected existing brocade products of the producer groups based on target market requirements and provide an initial assessment report. The report may include:
Assessment of the finishing quality of existing products
Assessment of product consistency and uniformity
Assessment of the suitability of product designs for the target market orientation
Identification of technical issues related to product quality that require improvement
Identification of priority technical support needs of the producer groups
Recommendation of potential products for further improvement and future market linkage opportunities
The assessment report will serve as the basis for developing the technical support program for the next implementation phase.
2. Technical Support Program for Product Improvement Developed
The consultant/team will develop a technical support and training program based on the initial assessment results and the actual conditions of the producer groups. The support program should include:
Technical support topics relevant to product improvement needs
Appropriate implementation methods suitable for the local production context
Proposed implementation and training plan
Technical guidance materials for application by producer groups (if applicable)
3. Sample Products Improved Through Technical Support Activities
Following the implementation of technical support activities:
Selected sample products of the producer groups are improved in terms of product finishing and quality
Product consistency and uniformity are enhanced
Producer groups are able to apply selected technical improvements in their actual production process
Improved sample products are initially assessed for their suitability to target market requirements
4. Final Report on Training Results and Capacity Improvement
Upon completion of the assignment, the consultant/team will provide a final report summarizing implementation results, including:
Technical support activities conducted
Results achieved in improving sample products
Progress in the application of technical improvements by producer groups
Remaining challenges and constraints
Recommendations for further technical support and product development (if applicable)
IV. CONSULTANT REQUIREMENTS
1. Professional Experience and Expertise
The consultant/team should have:
Proven expertise in traditional handicraft product development, handmade textile production, or livelihood development based on handicraft production (preferably brocade weaving or similar products)
At least 3–5 years of experience in providing technical training, skills improvement, or production capacity development support for small-scale household producer groups
Prev","WVV_SealedBids@wvi.org","","WVI","","NGO / Development","","NGO / Development","","","","https://careerone.vn/jobs/extension-consultancy-service-technical-support-for-improving-brocade-products-based-on-market-orientation-for-producer-groups-in-thanh-hoa-province-2/","2026-06-21",""
"Request for Expressions of Interest: Senior ESG Consultant for Sustainable Coffee Exchange (SCE) Project","Consultancy / Contract","Master's Degree","No Experience Required","","Programme / Project Management","","2026-06-22","Organisation
SNV Netherlands Development Organisation
Project
Sustainable Coffee Exchange (SCE)
Assignment
Senior ESG Consultant
Location
Remote – with frequent travel to Lam Dong and Son La
Duration
Part-time consultancy, 2026–2029 (output-based)
Reporting to/working with SNV focal point(s)
Project Manager, SCE
Starting date
Tentatively in August 2026 (upon contract signature)
Consultancy type
Individual National Consultant
Background
SNV is a global development partner rooted in the African and Asian countries where we operate. With 60 years of experience and a team of approximately 1,600 people, it is our mission to strengthen capacities and catalyse partnerships that transform the agri-food, energy, and water systems to enable sustainable and more equitable lives for all. These efforts are guided by cross-cutting themes such as climate adaptation and mitigation, gender equality and social inclusion (GEDSI), and strong institutions and effective governance.
In Viet Nam, SNV has been active since 1995, collaborating with communities, government agencies, and businesses across more than 50 provinces.
Background and objectives of assignment
SNV Viet Nam is implementing the Sustainable Coffee Exchange (SCE) project, co-funded by the European Union and JDE Peet’s. The project operates in Lam Dong and Son La provinces and targets the transformation of Viet Nam’s coffee sector toward ESG sustainability standards and EU market compliance, including the EU Deforestation Regulation (EUDR). The project directly engages 65 non-state actors (NSAs), facilitates 12 multi-stakeholder platforms, and aims for an improvement in ESG performance across target MSMEs and cooperatives.
The Senior ESG Consultant provides strategic leadership and technical oversight across three integrated areas: the design and roll-out of an ESG scorecard and tools; ongoing ESG adoption advisory services and ESG fundamentals training; and practical investor-readiness guidance for MSMEs and cooperatives. The Consultant also manages and mentors two provincial ESG Specialists (Lam Dong and Son La) to ensure consistent quality and delivery across both provinces.
Scope of work and key responsibilities
Strategic leadership
Provide overall strategic guidance on ESG integration across SCE project activities and connection to the ESG community in Viet Nam and the region.
Ensure project ESG strategies align with international standards including UN SDGs, IFC Performance Standards, OECD Guidelines, EUDR, CSRD, and other standards relevant to the size of businesses targeted by the program.
Oversee development and roll-out of the ESG scorecard and advisory services for MSMEs and cooperatives.
Management and coordination
Supervise and mentor two provincial ESG Specialists, ensuring consistent approaches and quality delivery across Lam Dong and Son La.
Coordinate with project partners — SNV, MSD, business associations, and CSOs — to align ESG technical support.
Facilitate cross-learning and knowledge exchange between the two provinces.
Introduce project to key working groups, associations, and gatherings of the ESG community in Viet Nam
Technical support
Co-develop a minimum viable ESG scorecard with business associations and cooperative alliances, contextualised to Viet Nam’s coffee sector with GEDSI and relevant EU export dimensions embedded; pilot with at least five MSMEs and cooperatives, then roll out to all target MSMEs and cooperatives with individual action plans.
Co-design ESG tools and templates for the SCE ESG Resource Hub, including a toolkit on the role of NSAs in advancing ESG in Viet Nam.
Provide one-on-one ESG adoption coaching and advisory services to target MSMEs and cooperatives via business associations and cooperative alliances throughout the project.
Develop practical investor-readiness guidance, including a pitch guide and ESG reporting checklist applicable fora range of investors; support planning and delivery of at least one investor matchmaking event.
Lead ESG scorecard implementation and support development of tailored action plans for MSMEs and cooperatives.
Provide technical input to Citizen-Generated Data initiatives and multi-stakeholder dialogues.
Capacity building and learning
Design and with support from ESG Advisors deliver ESG training modules for MSMEs, cooperatives, business associations, and CSOs.
Strengthen the capacity of NSAs to measure, report, and advocate for ESG adoption.
Monitor global ESG policy trends and provide adaptive recommendations to the project team.
Monitoring, evaluation, and reporting
Ensure ESG-related data collection, analysis, and reporting are integrated into the project MEL system.
Contribute to donor reporting with ESG results, Most Significant Change stories, and lessons learned.
Support communications and knowledge sharing on ESG best practices.
Copyright and intellectual property rights
All ESG scorecard tools, methodologies, guidance documents, training materials, investor-readiness resources, and other outputs produced under this contract are the sole intellectual property of SNV. The Consultant shall not publish, disclose, or use any project output or confidential data outside this assignment without prior written consent from SNV. All outputs must comply with EU visibility requirements (EU 2018 branding guidelines) and SCE brand standards.
Tender Process and Evaluation criteria
This tender process will take place in two stages. Stage one is an Expression of Interest. Those selected from the Expression of Interest stage will move forward to the Full Proposal Stage and receive a second assignment description ahead of being asked to prepare a more detailed proposal submission for the assignment.
Expression of Interest (EOI) Evaluation Criteria
Criteria
Maximum Score
Due Diligence
Pass/Fail
Qualifications
40
Relevant experience related to the assignment
50
Demonstrated experience providing consultancy services for international NGOs (INGOs), preferably within Asia
10
Total","https://c.smartrecruiters.com/sr-company-attachments-prod-aws-dc5/58919688e4b0672cc03331a9/937d1994-6d51-441b-8aff-73e4c6e9483f?r=s3-eu-central-1","https://c.smartrecruiters.com/sr-company-attachments-prod-aws-dc5/58919688e4b0672cc03331a9/937d1994-6d51-441b-8aff-73e4c6e9483f?r=s3-eu-central-1","SNV","","NGO / Development","","INGO","https://c.smartrecruiters.com/sr-company-attachments-prod-aws-dc5/58919688e4b0672cc03331a9/937d1994-6d51-441b-8aff-73e4c6e9483f?r=s3-eu-central-1","","","https://careerone.vn/jobs/request-for-expressions-of-interest-senior-esg-consultant-for-sustainable-coffee-exchange-sce-project/","2026-06-22",""
"TVET Specialist","Consultancy / Contract","Bachelor's Degree","","Hanoi","Programme / Project Management","","2026-06-25","APPLY NOW
(INCLUSIVE, GENDER RESPONSIVE AND MARKET-RELEVANT)
JOB DETAILS
LOCATION:
Hanoi, Vietnam
CONTRACT TYPE:
Fixed term, 2 years with possible extension
INTERNAL JOB GRADE:
C2
DEPARTMENT and TEAM:
Goal 2: Social Accountability and Empowered Citizens – Oxfam in Vietnam
ANNUAL SALARY:
VND 579,293,760 to VND 888,245,530
HOURS (FTE):
37.5/week
LOCATION:
Hanoi, Vietnam (with frequent travel to the Mekong Delta provinces)
COMMITMENT TO DIVERSITY AND INCLUSION
We are committed to ensuring diversity and gender equality within our organization.
Oxfam is a global movement of people who are fighting inequality to end poverty and injustice. Oxfam Confederation currently has 21 member organizations working in 79 countries. We share a vision of a just and sustainable world. A world where people and the planet are at the center of our economy. Where women and girls live free from violence and discrimination. Where the climate crisis is contained. And where governance systems are inclusive and allow for those in power to be held to account.
Oxfam in Vietnam believes that a reduction in poverty, injustice, and inequality will occur through the interaction between active citizens, accountable states and responsible private sector, and that it is fundamental to Vietnam’s development. Oxfam in Vietnam contributes to a shift from the current growth-based development model to a Human Economy that cares about People and the Planet.
All our work is led by our core values: Empowerment, Accountability, Inclusiveness, Courage, Solidarity and Equality.
JOB PURPOSE:
To provide technical leadership and delivery assurance for inclusive, gender responsive and market-relevant Technical and Vocational Education and Training (TVET), under  Oxfam’s project “Strengthened and Inclusive Access to Training and Skills” (SIATS).
The role is primarily a technical specialist function.  Project or partner management responsibilities may be assigned where required, but the core accountability is to ensure that the project’s TVET approach remains technically sound, inclusive, evidence-based, market-responsive, and aligned with the approved theory of change, PMF, and implementation plan.
ROLE REPORTS TO
Senior Programme Manager – Governance
ROLES REPORTING TO THIS POST
N/A
KEY RESPONSIBILITIES (Technical, Leadership, People and Resource management)
1)Technical leadership and quality assurance
:  Lead technical quality assurance for the SIATS TVET approach, ensuring that project strategies, methodologies, tools, and partner workplans are aligned with inclusive, gender-responsive, and market-relevant TVET standards, the project theory of change, PMF, and approved implementation plan.
2) TVET system strengthening
: Provide technical guidance to Oxfam, and its partners on strengthening inclusive TVET systems, including gender analysis, accessibility, trainee feedback, curriculum adaptation, trainer capacity, institutional learning and service improvement.
3) Demand-Supply linkage and labour market alignment:
Lead technical integration of demand-supply linkages by connecting the needs, aspirations and feedback of vulnerable and marginalised women with PVET training provision, employer expectations, labour-market trends and private-sector demand.
4) Evidence-based adaptive programming
: Support the effective design, rollout and use of M-score as a TVET system-strengthening mechanism.  Ensure that M-score and related feedback systems generate usable data on trainee experience, training relevance, accessibility barriers, job trends, and employment outcomes, and that the evidence is used by partners, employers, and Oxfam for adaptive programming and service improvement.
5) Partner capacity strengthening
:  Strengthen the technical capacity for partners through coaching, mentoring, technical guidance notes, joint reflections, learning review, and practical tools on inclusive TVET, labour-market engagement, trainee support and gender-transformative approaches.
6) Learning, knowledge and insutitionalisation
Work with the MEAL, Knowledge Management & Communications Unit, document good practices, technical lessons, and evidence from implementation.  Contribute to inclusive and gender-responsive TVET practices through guidance and learning products and engagement with relevant TVET reform actors.
Technical inputs for donor engagement and resource mobilisastion: Provide technical inputs for Government of Canada (GAC) reporting, adaptive management discussions, donor updates, proposal development and resource mobilisastion related to TVET, skills development, women’s economic empowerment, and inclusive labour-market systems.
Representation and external engagement: Represent Oxfam as a technical focal point on inclusive, gender responsive, and market-relevant vocational training and education TVET and advocacy to institutions, government, development partners, the private sector, Oxfam networks, and relevant national or sectoral platforms.
7) Other
Ensure the implementation of Oxfam’s operational policies, procedures and guidelines (especially gender equity, child protection) in all aspects of Oxfam’s work.
Link country strategy to global initiatives, support, and contribute to global advocacy initiatives.
PERSON SPECIFICATION
Most importantly, every individual at Oxfam International Secretariat needs to be able to:
Live our values of INCLUSION, ACCOUNTABILITY, EMPOWERMENT, COURAGE, SOLIDARITY and EQUALITY (read more about these
here
)
Ensure you commit to our ORGANIZATIONAL ATTRIBUTES (including adhering to the Code of Conduct):
1. Be committed to our
feminist principles
, and to applying them in your day-to-day behaviour and your work. Be ready to keep learning, with accountability to those who experience oppression as a result of their identities, such as their gender, race/ethnicity, disability, class, or LGBTQIA identity.
2. Be committed to undertaking Oxfam’s safeguarding training and adhering to relevant policies, to ensure all people who co","","https://jobs.oxfamnovib.nl/job-invite/14405","Oxfam","","NGO / Development","","UN Agency","https://jobs.oxfamnovib.nl/job-invite/14405","Hanoi","","https://careerone.vn/jobs/tvet-specialist/","2026-06-25","VND 579,293,760"
"Project Officer","Full-time","Bachelor's Degree","3 - 5 Years","Hanoi","Programme / Project Management","","2026-06-21","with details and requirements in the attached
Job Description
.
Requirement:
Bachelor’s degree is relevant to the area. Degree in psychology, public health or medical degree is preferrable.
Minimum of 4 years of work experience in a similar position.
Individuals interested in this job are invited to submit your applications via email to Catholic Relief Services at:
[email protected]
Applications in English should include:
i) Curriculum Vitae with name and contact information of three references
ii) Application Letter
iii) Copies of degrees, certificates
Deadline for submission:
June 21, 2026","recruitment.vietnam@crs.org","","CRS","","NGO / Development","","NGO / Development","","Hanoi","","https://careerone.vn/jobs/project-officer-33/","2026-06-21",""
"Consultant to conduct Project Final Evaluation","Consultancy / Contract","","","","Monitoring & Evaluation","","2026-07-10","1. Introduction:
Plan International is an independent development and humanitarian organisation that advances children’s rights and equality for girls. We believe in the power and potential of every child but know this is often suppressed by poverty, violence, exclusion, and discrimination. And it is girls who are most affected. Working together with children, young people, supporters, and partners, we strive for a just world, tackling the root causes of the challenges girls and vulnerable children face. We support children’s rights from birth until they reach adulthood, and we enable children to prepare for and respond to crises and adversity. We drive changes in practice and policy at local, national, and global levels using our reach, experience, and knowledge. For over 85 years, we have rallied other determined optimists to transform the lives of all children in more than 80 countries. We won’t stop until we are all equal.
Plan International has been working in northern and central Vietnam since 1993. Our work supports marginalised children and youth, especially adolescent girls, to start life and grow up physically and mentally healthy and as adolescents so they are leading the way to shape their own future. We believe girls have the power to change the world. Our ambition is to work alongside them and together take action so that 2 million girls in Vietnam can learn, lead, decide and thrive by 2027.
2. Tasks:
Plan International Vietnam is looking for consultants to conduct Final Evaluation for project “Ethnic minority (EM) adolescents and young people aged 11-24 in Tuyen Quang province are protected from becoming victims of child early and forced marriage (CEFM)” for the period from 2023-2027.
3
.
Timeframe:
The total consultancy person-days are fixed at 23 and do not vary with the number of consultant(s). The consultancy will be undertaken within the duration of August 2026 till end of January 2027.
4
.
How to apply:
Please access this
link
for detailed TOR and Annexes
Consultants/experts who are interested in taking this consultancy, please submit the proposal package via email to:
[email protected]
5
.
Deadline of submission
:
The application should be sent
no later than 10:00 a.m on 10
th
July 2026
.
Only short-listed consultants will be contacted for interview.","van.phamthihong@plan-international.org","","Plan International","","NGO / Development","","UN Agency","","","","https://careerone.vn/jobs/consultant-to-conduct-project-final-evaluation/","2026-07-10",""
